"_raw",index,host,source,sourcetype
"127.0.0.1 - admin [16/Jan/2017:19:37:14.238 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667169 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 11ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:14.257 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667170 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 9ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:16.238 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667171 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 8ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:16.253 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667172 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 9ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:18.239 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667173 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 11ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:20.239 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667174 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 11ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:20.257 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667175 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 8ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:22.238 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667176 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 8ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:22.255 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs/rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22/results_preview?output_mode=json_cols&show_metadata=true&show_empty_fields=True&offset=0&count=10000&_=1484610667177 HTTP/1.1"" 200 149 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 29ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
"127.0.0.1 - admin [16/Jan/2017:19:37:24.239 -0800] ""GET /en-US/splunkd/__raw/services/search/jobs?output_mode=json&id=rt_admin__admin_c3BsdW5rdGVsX2RlbW8__search3_rt_1484610657.22&count=1&_=1484610667178 HTTP/1.1"" 200 7454 ""http://localhost:8000/en-US/app/splunktel_demo/download_dashboard"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"" - 5d767d38b5e765da98ddd5400bcffe88 7ms","_internal","csharp-x1c","C:\Splunk\var\log\splunk\splunkd_ui_access.log","splunkd_ui_access"
